Название	Тикер	Цена	P/E	Рыночная капитализация/Активы, %	Активы/Задолженности, раз	Диведендная доходность %	Сфера деятельности	P/E < 15	Рыночная капитализация/Активы <150%	Активы/Задолженности > 2раз	Сумма
3M COMPANY	MMM	149,24	19,23106478	192,35214402472064	2,0967651063430206	3,9399624	Producer Manufacturing	0	0	1	1
AMERICAN EXPRESS CO	AXP	109,93	14,12384816	44,789985493215546	3,0854115780139084	1,564632	Finance	1	1	1	3
APPLE INC	AAPL	273,36	21,60232514	351,15032464520374	2,9174739402660363	1,1267194	Electronic Technology	0	0	1	1
BOEING CO	BA	275,11	None	115,94293486997194	4,683338006448899	2,987896	Electronic Technology	0	1	1	2
CATERPILLAR INC	CAT	124,24	11,50271541	87,1124264464074	2,0488626570212323	3,3161623	Producer Manufacturing	1	1	1	3
CHEVRON CORPORATION	CVX	93,34	63,26791235	73,88204516737706	7,69421219780932	5,528177	Energy Minerals	0	1	1	2
CISCO SYSTEMS INC	CSCO	39,93	15,66755361	187,26731072921504	5,2970534825142055	3,606311	Technology Services	0	0	1	1
COCA-COLA CO	KO	53,49	26,56446465	265,66846551903774	1,9563129883365418	3,0659935	Consumer Non-Durables	0	0	0	0
EXXON MOBIL CORPORATION	XOM	51,44	14,8490358	60,065847207781644	6,871662213125628	6,7651634	Energy Minerals	1	1	1	3
GOLDMAN SACHS GROUP INC	GS	200,77	9,79247699	6,989225051562588	2,4232561998799316	2,4904118	Finance	1	1	1	3
GENERAL ELECTRIC CO	GE	10,88	140,97693351	34,694334853515265	2,91448683594913	0,36764705	Electronic Technology	0	1	1	2
HOME DEPOT INC	HD	217,84	21,92252539	463,7879756421266	1,3707895229686706	2,7543151	Retail Trade	0	0	0	0
INTERNATIONAL BUS MACH CORP	IBM	130,15	12,60141436	75,97696318978092	2,232841339241175	4,978871	Technology Services	1	1	1	3
INTEL CORP	INTC	55,52	11,82788865	173,9320852011368	4,5958392243991115	2,3775215	Electronic Technology	1	0	1	2
JOHNSON & JOHNSON	JNJ	134,48	24,70521381	224,63807668898355	5,499389839963739	2,825699	Health Technology	0	0	1	1
JPMORGAN CHASE & CO,	JPM	116,11	11,32299023	13,281335375471789	4,954251077079634	3,1005082	Finance	1	1	1	3
MCDONALD'S CORPORATION	MCD	194,17	25,521865	307,7785846796939	0,9990495415930692	2,5750632	Consumer Services	0	0	0	0
MERCK & CO INC	MRK	76,56	20,49343832	230,07551358460609	3,0858135283363803	3,187043	Health Technology	0	0	1	1
MICROSOFT CORP	MSFT	162,01	27,53542457	435,74338935762427	3,2450227776056546	1,2591816	Technology Services	0	0	1	1
NIKE INC	NKE	89,38	31,02336825	523,2570363130592	3,843108928055475	1,0964422	Consumer Non-Durables	0	0	1	1
PFIZER INC	PFE	33,42	11,88526019	110,42533563398193	3,1321576841081646	4,548175	Health Technology	1	1	1	3
PROCTER & GAMBLE CO	PG	113,23	67,03283723	250,2759713756344	3,8439015998623773	2,6353438	Consumer Non-Durables	0	0	1	1
TRAVELERS COMPANIES INC	TRV	119,81	12,48943109	27,39768133602331	16,07451715191698	2,737668	Finance	1	1	1	3
UNITEDHEALTH GROUP INC	UNH	254,96	17,72355113	136,82523016344473	4,275068930489043	1,6943835	Health Services	0	1	1	2
RAYTHEON CO	RTN	188,56	16,19678176	151,89155516982004	6,086634970945589	1,9993637	Electronic Technology	0	0	1	1
VERIZON COMMUNICATIONS	VZ	54,16	11,83246298	76,78349196337672	2,1910802670812584	4,5420976	Communications	1	1	1	3
VISA INC	V	181,76	33,73943358	521,9893643572565	4,481124161073826	0,6602113	Finance	0	0	1	1
WALMART INC	WMT	107,68	21,28192771	129,18139597031652	3,265017326356771	2,0059438	Retail Trade	0	1	1	2
WALGREENS BOOTS ALLIANCE INC	WBA	45,76	11,38019295	44,64088134174678	2,1592438473427653	3,999126	Retail Trade	1	1	1	3
WALT DISNEY COMPANY (THE)	DIS	117,65	18,86406495	105,7039711766228	4,1798855954238165	1,4959626	Consumer Services	0	1	1	2
