Название	Тикер	Цена	P/E	Рыночная капитализация/Активы, %	Активы/Задолженности, раз	Диведендная доходность %	Сфера деятельности	P/E < 15	Рыночная капитализация/Активы <150%	Активы/Задолженности > 2раз	Сумма
AGILENT TECHNOLOGIES INC	A	77,07	31,98000991	252,0880934638459	3,8590576766856213	0,93421566	Health Technology	0	0	1	1
AMERICAN AIRLINES GROUP INC	AAL	19,05	5,40540541	13,528500625052086	1,7938942710202128	2,0997376	Transportation	1	1	0	2
ADVANCE AUTO PARTS INC	AAP	132,98	19,61423725	81,87842416672409	3,4691319340463926	0,7519928	Retail Trade	0	1	1	2
APPLE INC	AAPL	273,36	21,60232514	351,15032464520374	2,9174739402660363	1,1267194	Electronic Technology	0	0	1	1
ABBVIE INC	ABBV	85,71	16,17466058	142,26426931493015	1,328329954686382	5,506942	Health Technology	0	1	0	1
AMERISOURCEBERGEN CORPORATION	ABC	84,32	27,96202409	43,38387961557486	8,50214823159173	1,9924098	Distribution Services	0	1	1	2
ABIOMED INC	ABMD	150,26	28,88472001	565,8619534669161	94,8111084700103	0	Health Technology	0	0	1	1
ABBOTT LABORATORIES	ABT	77,03	38,42495997	200,09282027486853	3,5544792921095345	1,8694016	Health Technology	0	0	1	1
ACCENTURE PLC	ACN	180,59	24,88753621	345,73395762502776	9,807810658025808	1,7719697	Technology Services	0	0	1	1
ADOBE INC	ADBE	345,12	56,18778092	793,6191981882979	5,125253638781644	0	Technology Services	0	0	1	1
ANALOG DEVICES INC	ADI	109,05	33,22947836	187,84074455951765	3,6893555440881296	2,2741861	Electronic Technology	0	0	1	1
ARCHER-DANIELS-MIDLAND CO	ADM	37,65	15,38650307	47,7406312930427	4,45449022982687	3,824701	Process Industries	0	1	1	2
AUTOMATIC DATA PROCESSING INC	ADP	154,74	27,8252729	136,1810661361533	19,867735795569594	2,3523328	Technology Services	0	1	1	2
ALLIANCE DATA SYSTEM	ADS	85,88	None	14,928614128055317	2,5358243525200512	2,9343271	Technology Services	0	1	1	2
AUTODESK INC	ADSK	190,88	187,94215564	679,6870040295827	2,4283973905525427	0	Technology Services	0	0	1	1
AMEREN CORP	AEE	79	24,34925373	67,1771679397228	2,953250995202613	2,506329	Utilities	0	1	1	2
AMERICAN ELECTRIC POWER CO INC	AEP	89,26	23,67525773	55,71272039869394	2,5661542252904574	3,1369033	Utilities	0	1	1	2
AES CORP	AES	16,73	24,05945804	33,23139721150106	1,6636635141861622	3,4249854	Utilities	0	1	0	1
AFLAC INC	AFL	42,85	10,03707388	19,475510854317506	23,840581883623276	2,613769	Finance	1	1	1	3
ALLERGAN PLC,	AGN	190,67	None	66,09627292128437	4,078429768082861	1,5524204	Health Technology	0	1	1	2
AMERICAN INTERNATIONAL GROUP INC	AIG	42,16	11,60105829	7,013139640120062	14,853295615275814	3,0360532	Finance	1	1	1	3
APARTMENT INVESTMENT & MANAGEMENT	AIV	47,84	15,53200163	108,02140775917779	1,4965796948736734	3,4280937	Finance	0	1	0	1
ASSURANT INC	AIZ	120,59	22,9295795	16,28800312928979	12,014756944444445	2,0897255	Finance	0	1	1	2
GALLAGHER(ARTHUR J,)& CO	AJG	97,49	28,10859883	93,46772073053965	3,9004370282081844	1,8463433	Finance	0	1	1	2
AKAMAI TECHNOLOGIES	AKAM	86,51	30,71288559	200,01210238042978	2,622892190901145	0	Technology Services	0	0	1	1
ALBEMARLE CORP	ALB	81,85	16,111665	88,01259129145187	3,093041266216657	1,8814906	Process Industries	0	1	1	2
ALIGN TECHNOLOGY INC	ALGN	218,35	40,50090416	688,1595068104876	57,536341255780776	0	Health Technology	0	0	1	1
ALASKA AIR GROUP INC	ALK	50,46	8,55269533	44,29819284336833	4,365762394761459	2,9726517	Transportation	1	1	1	3
ALLSTATE CORP	ALL	105,25	7,80626376	27,533739877665237	16,78578356657891	2,0522566	Finance	1	1	1	3
ALLEGION PLC	ALLE	114,99	27,73397165	358,8632040299463	1,9662050228613095	1,1131403	Producer Manufacturing	0	0	0	0
ALEXION PHARMACEUTICAL INC	ALXN	94,03	8,58760118	118,65950793976494	6,362502266545785	0	Health Technology	1	1	1	3
APPLIED MATERIALS INC	AMAT	58,12	18,86542662	270,00499114686096	3,6110705151625866	1,4452857	Producer Manufacturing	0	0	1	1
ADVANCED MICRO DEVICES INC	AMD	45,48	148,33164813	882,4840212342401	8,280219780219781	0	Electronic Technology	0	0	1	1
AMETEK INC	AME	86	23,26869806	200,15791464097072	3,3321844200453157	0,8372093	Producer Manufacturing	0	0	1	1
AFFILIATED MANAGERS GROUP	AMG	75,22	193,39918092	48,425620748677076	4,2666406511316755	1,701675	Finance	0	1	1	2
AMGEN INC	AMGN	199,73	15,81049164	197,30040382199743	1,9620452827708588	3,204326	Health Technology	0	0	0	0
AMERIPRISE FINANCIAL INC	AMP	141,3	10,47629968	11,46980609637221	29,372799380924743	2,7459307	Finance	1	1	1	3
AMERICAN TOWER CORP	AMT	226,8	55,06359037	241,03538185488392	1,3780163102094958	1,6666666	Finance	0	0	0	0
AMAZON COM INC	AMZN	1883,75	81,86308797	416,3187187011649	2,9051138195653574	0	Retail Trade	0	0	1	1
